Contig,bulk_rhiz,bulk_rhiz_t,total_vOTUs,total_contigs,Timepoint,treatment,soil_moisture,sum_ITS,sum_16S
14C1BT0,bulk,bulk_T10,8769,135826.73,T0,,12.21,103,541
14C1BT1,bulk,bulk_T10,9844,184360.4473,T1,,13.33651248,207,519
14C1BT2,bulk,bulk_T23,1127,36765.13261,T2,,6.525037936,153,400
14C1BT3,bulk,bulk_T23,4052,167934.5654,T3,,4.791647245,150,550
14C1RT1,rhizo,rhizo,10967,185893.4535,T1,control,,86,661
14C1RT2,rhizo,rhizo,13217,171646.916,T2,control,,161,626
14C1RT3,rhizo,rhizo,14878,203992.6935,T3,control,,183,516
14C2BT1,bulk,bulk_T10,11329,189865.9222,T1,,14.19742776,181,431
14C2BT2,bulk,bulk_T23,1453,40507.58664,T2,,6.48255814,175,504
14C2BT3,bulk,bulk_T23,10600,208392.7547,T3,,8.383075843,193,493
14C2RT1,rhizo,rhizo,13351,203437.8751,T1,control,,159,528
14C2RT2,rhizo,rhizo,15421,203547.2631,T2,control,,204,712
14C2RT3,rhizo,rhizo,16288,186737.7309,T3,control,,104,624
14T1BT0,bulk,bulk_T10,7077,187109.5536,T0,,13.14,214,619
14T1BT1,bulk,bulk_T10,9191,182030.7197,T1,,12.61824023,174,558
14T1BT2,bulk,bulk_T23,1822,47671.02202,T2,,6.274509804,222,487
14T1BT3,bulk,bulk_T23,7843,213700.6923,T3,,5.974516281,172,471
14T1RT1,rhizo,rhizo,6522,212451.5848,T1,treatment,,147,701
14T1RT2,rhizo,rhizo,11752,169863.9632,T2,treatment,,223,701
14T1RT3,rhizo,rhizo,18244,195577.8351,T3,treatment,,180,692
14T2BT1,bulk,bulk_T10,11491,198818.2963,T1,,13.97719419,247,623
14T2BT2,bulk,bulk_T23,1623,48250.83627,T2,,6.752827141,191,489
14T2BT3,bulk,bulk_T23,7193,181621.0022,T3,,5.986560782,221,459
14T2RT1,rhizo,rhizo,15474,164776.6503,T1,treatment,,247,543
14T2RT2,rhizo,rhizo,14800,171601.6139,T2,treatment,,211,507
14T2RT3,rhizo,rhizo,15994,185457.0358,T3,treatment,,234,730
55C1BT0,bulk,bulk_T10,10544,160944.4963,T0,,10.03,224,625
55C1BT1,bulk,bulk_T10,13127,186317.8784,T1,,12.04078045,185,470
55C1BT2,bulk,bulk_T23,2659,53073.04577,T2,,7.305743243,185,552
55C1BT3,bulk,bulk_T23,5921,200193.6408,T3,,4.81184454,229,600
55C1RT1,rhizo,rhizo,18123,158236.0744,T1,control,,156,468
55C1RT2,rhizo,rhizo,15174,163086.4693,T2,control,,244,638
55C1RT3,rhizo,rhizo,15012,200419.671,T3,control,,233,714
55C2BT1,bulk,bulk_T10,13149,169048.4227,T1,,12.36159013,234,570
55C2BT2,bulk,bulk_T23,1506,36877.42187,T2,,6.990103515,220,641
55C2BT3,bulk,bulk_T23,6674,188328.755,T3,,4.608864559,179,512
55C2RT1,rhizo,rhizo,14620,171731.0547,T1,control,,219,746
55C2RT2,rhizo,rhizo,18020,188424.3465,T2,control,,290,691
55C2RT3,rhizo,rhizo,11657,189844.0708,T3,control,,229,841
55T1BT0,bulk,bulk_T10,9193,106901.532,T0,,11.21,154,558
55T1BT1,bulk,bulk_T10,11740,188628.0038,T1,,12.73476112,220,612
55T1BT2,bulk,bulk_T23,9728,201489.1977,T2,,6.873639592,136,513
55T1BT3,bulk,bulk_T23,7698,202831.8235,T3,,4.80217457,155,493
55T1RT1,rhizo,rhizo,11972,168490.532,T1,treatment,,238,616
55T1RT2,rhizo,rhizo,7008,223881.0354,T2,treatment,,171,650
55T1RT3,rhizo,rhizo,13875,197541.1592,T3,treatment,,180,516
55T2BT1,bulk,bulk_T10,13284,191969.5548,T1,,12.30697962,225,274
55T2BT2,bulk,bulk_T23,9274,218759.1003,T2,,6.827358375,190,517
55T2BT3,bulk,bulk_T23,7754,212556.0423,T3,,6.107690804,129,535
55T2RT1,rhizo,rhizo,18245,189592.2212,T1,treatment,,125,525
55T2RT2,rhizo,rhizo,18456,186400.6471,T2,treatment,,158,493
55T2RT3,rhizo,rhizo,14497,207161.5621,T3,treatment,,230,471
78C1BT0,bulk,bulk_T10,8592,120315.2927,T0,,10.71,52,377
78C1BT1,bulk,bulk_T10,10876,182671.7079,T1,,11.56740838,163,491
78C1BT2,bulk,bulk_T23,4834,75921.24208,T2,,5.47123623,220,381
78C1BT3,bulk,bulk_T23,5282,209635.491,T3,,4.151282307,197,530
78C1RT1,rhizo,rhizo,12327,181726.6702,T1,control,,150,411
78C1RT2,rhizo,rhizo,15047,217977.4431,T2,control,,142,493
78C1RT3,rhizo,rhizo,12789,197689.0881,T3,control,,218,608
78C2BT1,bulk,bulk_T10,14337,200553.0101,T1,,12.86490156,173,518
78C2BT2,bulk,bulk_T23,7998,220655.9795,T2,,6.342342342,153,563
78C2BT3,bulk,bulk_T23,6557,218663.9443,T3,,4.304869442,254,498
78C2RT1,rhizo,rhizo,15268,175696.0983,T1,control,,204,729
78C2RT2,rhizo,rhizo,13108,221641.5237,T2,control,,214,455
78C2RT3,rhizo,rhizo,7571,251133.3837,T3,control,,195,386
78T1BT0,bulk,bulk_T10,8618,120833.7308,T0,,9.05,80,791
78T1BT1,bulk,bulk_T10,12928,187309.1669,T1,,13.46978558,162,458
78T1BT2,bulk,bulk_T23,8109,202856.8438,T2,,6.892852353,194,544
78T1BT3,bulk,bulk_T23,6315,206980.6878,T3,,4.298254465,200,526
78T1RT1,rhizo,rhizo,12943,156713.1636,T1,treatment,,155,494
78T1RT2,rhizo,rhizo,14286,199582.1156,T2,treatment,,184,452
78T1RT3,rhizo,rhizo,10170,188413.3692,T3,treatment,,238,490
78T2BT1,bulk,bulk_T10,12581,183658.2422,T1,,11.54919749,164,272
78T2BT2,bulk,bulk_T23,9555,202098.3653,T2,,7.037315302,159,390
78T2BT3,bulk,bulk_T23,6677,230348.4018,T3,,5.861981586,150,371
78T2RT1,rhizo,rhizo,15299,173555.7928,T1,treatment,,170,412
78T2RT2,rhizo,rhizo,14069,201464.5615,T2,treatment,,169,401
78T2RT3,rhizo,rhizo,8355,222016.5086,T3,treatment,,181,541